Statistics for cifar100_v4_n_layer

layer	0
mean_A_conv	0.0701891
std_A_conv	0.148091
max_A_conv absolute, relative	0.62335	8.88102
std_across_features_mean_A_conv  absolute, relative	0.147629	2.1033
std_across_features_max_A_conv absolute, relative	0.170869	2.43441

layer	1
mean_A_conv	0.053624
std_A_conv	0.122272
max_A_conv absolute, relative	0.596872	11.1307
std_across_features_mean_A_conv  absolute, relative	0.121843	2.27217
std_across_features_max_A_conv absolute, relative	0.143033	2.66733

layer	2
mean_A_conv	0.0563207
std_A_conv	0.109964
max_A_conv absolute, relative	0.51781	9.19395
std_across_features_mean_A_conv  absolute, relative	0.109671	1.94726
std_across_features_max_A_conv absolute, relative	0.124501	2.21057

layer	3
mean_A_conv	0.0556784
std_A_conv	0.0763345
max_A_conv absolute, relative	0.30313	5.4443
std_across_features_mean_A_conv  absolute, relative	0.0760979	1.36674
std_across_features_max_A_conv absolute, relative	0.0857891	1.5408

layer	4
mean_A_conv	0.0330424
std_A_conv	0.0494162
max_A_conv absolute, relative	0.166577	5.04132
std_across_features_mean_A_conv  absolute, relative	0.0493104	1.49234
std_across_features_max_A_conv absolute, relative	0.0544883	1.64905

layer	0
mean_acoss_map0_A_avg absolute, relative	0.094566	1.3473
std_acoss_map0_A_avg absolute, relative	0.00668434	0.0952334
max_acoss_map0_A_avg absolute, relative	0.113231	1.61323
std_across_features_A_avg_centerunit absolute, relative	0.138928	1.97934

layer	1
mean_acoss_map0_A_avg absolute, relative	0.00309461	0.0577095
std_acoss_map0_A_avg absolute, relative	0.00107412	0.0200306
max_acoss_map0_A_avg absolute, relative	0.00526513	0.098186
std_across_features_A_avg_centerunit absolute, relative	0.114133	2.1284

layer	2
mean_acoss_map0_A_avg absolute, relative	0.0121646	0.215962
std_acoss_map0_A_avg absolute, relative	0.00139906	0.0248379
max_acoss_map0_A_avg absolute, relative	0.0157364	0.279373
std_across_features_A_avg_centerunit absolute, relative	0.106108	1.88376

layer	3
mean_acoss_map0_A_avg absolute, relative	0.0104327	0.187375
std_acoss_map0_A_avg absolute, relative	0.00133481	0.0239735
max_acoss_map0_A_avg absolute, relative	0.0128322	0.23047
std_across_features_A_avg_centerunit absolute, relative	0.0735485	1.32095

layer	4
mean_acoss_map0_A_avg absolute, relative	9.6382e-05	0.00291692
std_acoss_map0_A_avg absolute, relative	0.000102668	0.00310717
max_acoss_map0_A_avg absolute, relative	0.000340893	0.0103168
std_across_features_A_avg_centerunit absolute, relative	0.0480722	1.45487

layer	0
mean_acoss_map0_A_max absolute, relative	0.192088	1.78558
std_acoss_map0_A_max absolute, relative	0.011904	0.110655
max_acoss_map0_A_max absolute, relative	0.220802	2.0525
std_across_features_A_max_centerunit absolute, relative	0.190018	1.76634

layer	1
mean_acoss_map0_A_max absolute, relative	0.00974958	0.120036
std_acoss_map0_A_max absolute, relative	0.00253043	0.0311545
max_acoss_map0_A_max absolute, relative	0.0157791	0.194271
std_across_features_A_max_centerunit absolute, relative	0.149356	1.83886

layer	2
mean_acoss_map0_A_max absolute, relative	0.0347335	0.425445
std_acoss_map0_A_max absolute, relative	0.00277284	0.0339641
max_acoss_map0_A_max absolute, relative	0.0414011	0.507116
std_across_features_A_max_centerunit absolute, relative	0.133502	1.63524

layer	3
mean_acoss_map0_A_max absolute, relative	0.0243036	0.299549
std_acoss_map0_A_max absolute, relative	0.00228515	0.0281651
max_acoss_map0_A_max absolute, relative	0.0282031	0.347611
std_across_features_A_max_centerunit absolute, relative	0.0924986	1.14007

layer	4
mean_acoss_map0_A_max absolute, relative	0.000330757	0.00734035
std_acoss_map0_A_max absolute, relative	0.000213128	0.00472985
max_acoss_map0_A_max absolute, relative	0.000875711	0.0194343
std_across_features_A_max_centerunit absolute, relative	0.0624218	1.3853
