Statistics for cifar100_v5_n_layer_pool=4

layer	0
layer mean A 	0.077445
layer std A	0.100484
layer max A	0.521456
feature map means 	[0.0054541877, 0.0069556357, 0.051698007, 0.018699711, 0.056756072, 0.16659319, 0.005470953, 0.091745958, 0.030982269, 0.043060444, 0.0028797027, 0.024622485, 0.33032617, 0.00013074746, 0.0042434018, 0.24753667, 0.016261803, 0.084706567, 0.03267077, 0.00026423688, 0.30392408, 0.0142375, 0.10109279, 0.0013333771, 0.19218332, 0.012652032, 0.01039384, 0.26400632, 0.061622079, 0.019896144, 0.086247712, 0.017787647, 0.0061177472, 0.0045707296, 0.0001037783, 0.071661763, 0.062156137, 0.097821489, 0.35236165, 5.2018615e-05, 0.26171842, 0.10626175, 0.022125851, 0.091817841, 0.07462135, 0.0051128976, 0.010227609, 0.24420658]
feature map maxs 	[0.010447738, 0.013191491, 0.080068603, 0.029019086, 0.077270694, 0.22036068, 0.0086652227, 0.12391125, 0.044399653, 0.064344577, 0.0051798858, 0.035154898, 0.42082801, 0.00075932813, 0.008226689, 0.38579813, 0.02285845, 0.10965107, 0.057785559, 0.00075818191, 0.42590478, 0.022338357, 0.18580966, 0.0023700276, 0.25695294, 0.020470493, 0.018729277, 0.52145594, 0.080777891, 0.023806786, 0.10502023, 0.02505156, 0.010038131, 0.007652767, 0.00046891416, 0.13830294, 0.092731372, 0.13660315, 0.40181848, 0.00022070206, 0.34813195, 0.13234019, 0.033354562, 0.13328475, 0.10140415, 0.0087656882, 0.01684474, 0.38827381]
feature map 0 local means 	[0.0089946138, 0.0076515605, 0.0061607598, 0.0054285061, 0.005308731, 0.0056535359]
feature map 0 local maxs 	[0.01637437, 0.014283393, 0.013573967, 0.012287305, 0.012004484, 0.012232983]

layer	1
layer mean A 	0.0980253
layer std A	0.110677
layer max A	0.833518
feature map means 	[0.025290491, 0.00020708384, 0.18982184, 0.007752195, 0.12428789, 0.081375197, 0.071307696, 0.0038807213, 0.12847824, 0.094830066, 0.3660619, 0.15063718, 0.027599676, 0.073726468, 0.1047352, 0.072671629, 0.071570724, 0.003519454, 0.34516361, 0.067229845, 0.078137524, 0.0002056759, 0.101945, 0.021197397, 0.017030029, 0.092080481, 0.12236589, 0.072609551, 0.032456268, 0.026485186, 0.032138694, 0.048336715, 0.12588307, 0.052612476, 0.0051676799, 0.059603553, 0.068751566, 0.052833863, 0.16440243, 0.49238241, 0.1296697, 0.066606835, 0.085952356, 0.19494443, 0.4206565, 0.073151223, 0.04758035, 0.0098775933]
feature map maxs 	[0.034720067, 0.00071142428, 0.23976691, 0.011332467, 0.16303569, 0.11929855, 0.10266255, 0.0058487607, 0.18335366, 0.15997884, 0.56535971, 0.20509878, 0.041886449, 0.10333038, 0.14426117, 0.085358717, 0.12289944, 0.0051117679, 0.42333373, 0.094274096, 0.14994735, 0.00060031225, 0.1641579, 0.048574433, 0.032359235, 0.12792499, 0.15409614, 0.089799181, 0.043103073, 0.046368636, 0.050715268, 0.067468472, 0.19115135, 0.081167184, 0.010773581, 0.09546271, 0.1083361, 0.071773678, 0.21411034, 0.83351839, 0.29992306, 0.11213422, 0.11704646, 0.39329585, 0.60295016, 0.12176225, 0.059815563, 0.015514913]
feature map 0 local means 	[0.031592648, 0.030554481, 0.030676791, 0.024594309, 0.024927951]
feature map 0 local maxs 	[0.077906899, 0.078189872, 0.077257998, 0.067766532, 0.064138092]

layer	2
layer mean A 	0.112405
layer std A	0.101664
layer max A	0.770868
feature map means 	[0.092728063, 0.12578171, 0.18986395, 0.087063767, 0.076663338, 0.26013812, 0.10015357, 0.028041448, 0.10143693, 0.32579046, 0.0030200412, 0.22461917, 0.068399809, 0.07154233, 0.30309534, 0.084826961, 0.13206582, 0.053024247, 0.035724401, 0.022715123, 0.022428287, 0.11687256, 0.13170201, 0.042484455, 0.073430762, 0.024311921, 0.12753238, 0.16230433, 0.047328353, 0.034787178, 0.13147292, 0.10418504, 0.10657667, 0.2457739, 0.011850054, 0.43939209, 0.37789056, 0.0060540494, 0.039355639, 0.014123939, 0.068865977, 0.023988781, 0.11199433, 0.11040197, 0.17288974, 0.048390031, 0.042551376, 0.16977735]
feature map maxs 	[0.14833403, 0.15416947, 0.29260892, 0.11754419, 0.10271069, 0.32768211, 0.15489031, 0.038261835, 0.15009123, 0.43570495, 0.0067899441, 0.26778862, 0.087848805, 0.096396446, 0.47122517, 0.10287058, 0.15524688, 0.068371557, 0.045084074, 0.030441871, 0.043514848, 0.14265096, 0.20823699, 0.054428056, 0.087716229, 0.031884003, 0.21428975, 0.26644513, 0.063754246, 0.051850673, 0.15316355, 0.12524793, 0.12353441, 0.32374293, 0.019196523, 0.77086753, 0.44503331, 0.010695984, 0.054287322, 0.01861741, 0.12032428, 0.042029813, 0.14439169, 0.15483075, 0.21794695, 0.056947138, 0.071440041, 0.23303702]
feature map 0 local means 	[0.10004704, 0.088199064, 0.084775992, 0.070016064]
feature map 0 local maxs 	[0.27613488, 0.24873069, 0.22588016, 0.20608766]

layer	3
layer mean A 	0.153768
layer std A	0.121634
layer max A	0.555773
feature map means 	[0.32644564, 0.009833755, 0.084339947, 0.18694247, 0.028489986, 0.081428669, 0.35536683, 0.32009053, 0.013943089, 0.29352486, 0.052415408, 0.38971511, 0.26153105, 0.15178809, 0.19017071, 0.13766535, 0.16721877, 0.29826954, 0.15380837, 0.0076675587, 0.20697817, 0.083410479, 0.35463479, 0.056864917, 0.031285886, 0.14135088, 0.34892067, 0.018015383, 0.047541842, 0.012353616, 0.12673514, 0.36424285, 0.097944334, 0.0081706438, 0.047835097, 0.00097516156, 0.38813961, 0.12520413, 0.11997464, 0.13531305, 0.05437056, 0.26407513, 0.26498696, 0.11719765, 0.052616287, 0.10128518, 0.097672492, 0.20210201]
feature map maxs 	[0.39153516, 0.014202202, 0.11117987, 0.2214364, 0.035800245, 0.097565621, 0.5557735, 0.41823637, 0.019345516, 0.36630294, 0.071748525, 0.46646109, 0.30712497, 0.18235315, 0.25290996, 0.19075723, 0.20598508, 0.34518307, 0.18213481, 0.011142389, 0.24169894, 0.10946692, 0.41762829, 0.086271912, 0.038056266, 0.17539901, 0.44454312, 0.023215177, 0.062677361, 0.019119631, 0.15877944, 0.40280834, 0.11125121, 0.013307119, 0.074329033, 0.0022659227, 0.47355965, 0.15446894, 0.14788124, 0.19836421, 0.092175253, 0.30334425, 0.30907288, 0.13172746, 0.080243945, 0.12121155, 0.11615205, 0.24656978]
feature map 0 local means 	[0.28039157, 0.3345727, 0.31440452]
feature map 0 local maxs 	[0.81637454, 0.91545576, 0.88860351]

layer	4
layer mean A 	0.139452
layer std A	0.0807103
layer max A	0.424043
feature map means 	[0.12378026, 0.074343994, 0.092162341, 0.1575613, 0.19834471, 0.023891693, 0.049351111, 0.13990358, 0.086741664, 0.26426542, 0.15719882, 0.26851177, 0.16744429, 0.20062996, 0.0089895669, 0.18839493, 0.11179744, 0.01687808, 0.26228398, 0.15441369, 0.19457345, 0.17839174, 0.089202277, 0.15233859, 0.23503503, 0.14886615, 0.055846673, 0.14218163, 0.050090656, 0.11645658, 0.23264617, 0.085683376, 0.34991032, 0.05088377, 0.30898252, 0.18328625, 0.23077078, 0.075808987, 0.092923202, 0.15076952, 0.19986261, 0.0458006, 0.11617793, 0.10827939, 0.068448886, 0.17666396, 0.021248203, 0.085649483]
feature map maxs 	[0.15497164, 0.0949338, 0.1135105, 0.18795471, 0.23065932, 0.038078737, 0.058256906, 0.17082471, 0.1036851, 0.29878283, 0.18390477, 0.36027479, 0.25789049, 0.23765254, 0.011557934, 0.21581411, 0.14301415, 0.021978218, 0.32321087, 0.18866034, 0.23292117, 0.20592363, 0.11173464, 0.17790067, 0.26125532, 0.16902521, 0.076027483, 0.1603847, 0.058228001, 0.16024373, 0.26014262, 0.10023051, 0.42404252, 0.07019031, 0.35385391, 0.20097479, 0.2733804, 0.091395952, 0.12854187, 0.18138745, 0.22027263, 0.059780233, 0.14553969, 0.14506325, 0.086948998, 0.21217954, 0.025736259, 0.097814165]
feature map 0 local means 	[0.12620215, 0.14334787]
feature map 0 local maxs 	[0.42965221, 0.48227611]
