Statistics for cifar100_v5_n_layer

layer	0
layer mean A 	0.115203
layer std A	0.159268
layer max A	0.600596
feature map means 	[9.4812021e-06, 1.2678747e-05, 0.00039604263, 0.2177396, 0.21234919, 0.00068195153, 0.048247483, 0.16660674, 0.00012048715, 0.51601273, 0.41766, 6.3608684e-05, 8.5744126e-05, 0.19488573, 0.068368979, 2.526921e-06]
feature map maxs 	[0.00061112008, 0.00056968053, 0.0030007944, 0.25158775, 0.28467774, 0.0037513892, 0.08288765, 0.24748334, 0.001315927, 0.59410846, 0.60059649, 0.001496218, 0.0024313231, 0.26550421, 0.10304449, 0.00077951705]
feature map 0 local means 	[-8.5014227e-09, -8.676337e-09, -8.7676257e-09, -8.843684e-09, -8.9236227e-09, -9.1999146e-09, -9.2185415e-09, -9.1750794e-09, -9.1440358e-09, -8.9763974e-09, -9.0322771e-09, -9.0322771e-09, -8.9546663e-09]
feature map 0 local maxs 	[-8.1164764e-09, -8.3244718e-09, -8.4796916e-09, -8.4827967e-09, -8.5790335e-09, -8.8770564e-09, -8.6535392e-09, -8.728045e-09, -8.8273859e-09, -8.628704e-09, -8.5790335e-09, -8.8025507e-09, -8.628704e-09]

layer	1
layer mean A 	0.249059
layer std A	0.229861
layer max A	0.994682
feature map means 	[0.34517345, 0.022494143, 0.31734955, 0.44401047, 0.13734056, 0.0002520766, 0.19938518, 0.010074015, 0.42834014, 0.44443387, 0.41947791, 0.48008797, 0.00091070705, 0.094028272, 0.23602623, 0.020579083, 0.026231784, 0.58882767, 0.0012796916, 0.76486719]
feature map maxs 	[0.41641453, 0.037543587, 0.40006143, 0.56554759, 0.18780629, 0.0033431768, 0.25726169, 0.018305577, 0.53926831, 0.53998232, 0.53637475, 0.57076144, 0.0036409744, 0.13318743, 0.26954362, 0.042877212, 0.042198926, 0.67018378, 0.0042962744, 0.9946816]
feature map 0 local means 	[0.24283074, 0.27487487, 0.30016631, 0.29676479, 0.28869483, 0.29175469, 0.28944296, 0.28018183, 0.270257, 0.25207701]
feature map 0 local maxs 	[0.33771574, 0.37035805, 0.40608993, 0.40721619, 0.39456758, 0.3985849, 0.39077255, 0.38243648, 0.36928314, 0.3433421]

layer	2
layer mean A 	0.292925
layer std A	0.306161
layer max A	1.08161
feature map means 	[0.01652389, 0.24033189, 0.11740009, 0.00069159211, 0.16906776, 0.57743526, 0.76532793, 0.012802633, -8.0496818e-09, 0.25797808, 0.81706953, 0.51113003, 0.83836651, 0.0020142389, 0.94020092, 3.6276877e-05, 0.32619569, 0.11207018, 0.59533948, 0.077209421, 0.054656543, 0.23451823, 0.34814167, 0.015680121]
feature map maxs 	[0.030997312, 0.33091223, 0.15889452, 0.0028379518, 0.23297739, 0.69974345, 0.88590151, 0.02192346, -1.7633041e-09, 0.33023149, 1.0170006, 0.68548948, 1.0341641, 0.0056820461, 1.0816072, 0.00082740095, 0.42168409, 0.1547077, 0.70998025, 0.10468673, 0.075042486, 0.33346045, 0.41282791, 0.02828411]
feature map 0 local means 	[0.01364155, 0.023559256, 0.021302346, 0.023647122, 0.017006695, 0.013664052, 0.010763137, 0.008668243]
feature map 0 local maxs 	[0.033423737, 0.037697643, 0.03820594, 0.044790495, 0.034416556, 0.030132744, 0.021507723, 0.017160449]

layer	3
layer mean A 	0.67877
layer std A	0.492168
layer max A	1.90859
feature map means 	[0.94090801, 0.024694681, 0.018563496, 0.67470384, 0.74369121, 1.6944361, 0.78055209, 0.98136044, 1.1339158, 1.3636091, 0.76737237, 1.2404288, 0.06520275, 0.20502989, 0.29396144, 0.0048427307, 0.28801519, 0.35059011, 1.0183605, 0.98516083]
feature map maxs 	[1.0500352, 0.061282381, 0.040981904, 0.8641699, 0.94663686, 1.9085904, 0.99567038, 1.2109245, 1.3222448, 1.5733637, 0.94111764, 1.4615971, 0.096239917, 0.26831365, 0.36930197, 0.012096738, 0.35659063, 0.42752931, 1.2451013, 1.1725129]
feature map 0 local means 	[0.93066275, 0.97368193, 0.98386741, 1.011336, 1.0206841, 0.95249581]
feature map 0 local maxs 	[1.2272383, 1.2564459, 1.2701821, 1.313344, 1.3153074, 1.2892997]

layer	4
layer mean A 	0.372935
layer std A	0.326245
layer max A	1.0776
feature map means 	[0.67817259, 0.013494487, 0.46867803, 0.00042499386, 2.9096496e-05, 0.19851077, 0.058919467, 0.2607407, 0.543957, 0.90929008, 0.70992124, 0.55950415, 0.83110839, 0.035319589, 0.021629145, 0.67727089]
feature map maxs 	[0.87709188, 0.026700789, 0.58542174, 0.0031685268, 0.00079389819, 0.27534103, 0.096002594, 0.35582897, 0.6840592, 1.0775952, 0.97583771, 0.68471009, 1.0537314, 0.06604819, 0.044803817, 0.86175728]
feature map 0 local means 	[0.63864034, 0.6101293, 0.63902277, 0.66890138, 0.61921132]
feature map 0 local maxs 	[1.04557, 1.0086764, 1.0142347, 1.0269105, 1.0375217]
