Statistics for mnist_CNN_v2_all_epochs=20

layer	0
mean(A) across layer 	0.242233
std(A) across layer 	0.318331
max(A) across layer 	2.86818
mean(A across trials) for each feature 	[0.66798794, 0.14117283, 0.15874144, 0.19994517, 0.12038581, 0.18103135, 0.00025038185, 0.25523216, 0.015352104, 0.04052031, 0.57892549, 0.1721582, 0.27701274, 0.55279958, 0.25349236, 2.2537961e-06, 0.067705445, 0.35164493, 0.22997516, 0.18362056, 0.37543437, 0.19435716, 0.078199558, 0.32294145, 0.1919515, 0.33874196, 8.613422e-05, 0.075992621, 0.12084922, 0.18314922, 1.4218097, 1.2404904e-05]
max(A across trials) for each feature 	[1.4486852, 0.43062109, 0.44753063, 0.26574254, 0.45874029, 0.39809689, 0.0026587951, 0.34083614, 0.05737773, 0.21360025, 0.83947903, 1.0734947, 0.42682135, 1.128799, 0.35274017, 2.2051488e-05, 0.16442347, 0.95398694, 0.3320125, 0.44358981, 0.54164237, 0.67048872, 0.32470453, 0.43763268, 0.53238958, 0.48319164, 0.001002097, 0.23224798, 0.47020566, 0.67618603, 2.8681765, 9.8272183e-05]
