Statistics for mnist_CNN_v1_test

layer	0
mean(A) across layer 	0.0767706
std(A) across layer 	0.103689
max(A) across layer 	0.852536
mean(A across trials) for each feature 	[0.070903383, 0.13946432, 0.042754196, 0.014185917, 0.16008933, 0.14758395, 0.073712513, 0.14427382, 0.11571225, 0.24100325, 0.071284816, 0.11199629, 0.0086366711, 0.045372877, 0.11821847, 0.11034871, 0.0034118749, 0.065300107, 0.011619892, 0.0016462679, 0.088965364, 0.046940386, 0.093512222, 0.10112741, 0.11837441, 0.045532387, 0.079076037, 0.080790952, 0.0021145735, 0.044864967, 0.00069921266, 0.057148926]
max(A across trials) for each feature 	[0.33433875, 0.5545069, 0.23397297, 0.021590682, 0.56113112, 0.53552747, 0.27121642, 0.49373594, 0.20076591, 0.85253602, 0.2649439, 0.1464975, 0.055475719, 0.16652095, 0.24151435, 0.15715374, 0.032046054, 0.32657349, 0.040306177, 0.008526952, 0.16396029, 0.21468635, 0.14294225, 0.40133932, 0.34426609, 0.16124013, 0.33025694, 0.36954263, 0.024738358, 0.086409122, 0.0098412707, 0.19805118]
