Statistics for mnist_CNN_v2_all_epochs=1

layer	0
mean(A) across layer 	0.0793557
std(A) across layer 	0.151578
max(A) across layer 	1.08636
mean(A across trials) for each feature 	[0.21388684, 0.21059215, 0.0077270642, 0.058695145, 0.0148167, 0.031530142, 0.030524023, 0.050106835, 0.28508991, 0.01542662, 0.012570461, 0.1011278, 0.19061221, 0.077068351, 0.0025134925, 0.064782992, 0.02886577, 0.0035027082, 0.31330523, 0.00088492699, 0.1369742, 0.025793258, 0.046542831, 0.0062860213, 0.12294429, 0.030455332, 0.052473113, 0.066200562, 0.036213439, 0.19049264, 0.10949777, 0.0018875359]
max(A across trials) for each feature 	[0.73987144, 0.74271405, 0.050817426, 0.085414112, 0.043363098, 0.048631221, 0.10310683, 0.078655675, 1.0011789, 0.087945469, 0.063433021, 0.31421414, 0.65596902, 0.27838671, 0.014302315, 0.31367958, 0.14359044, 0.023228392, 1.0863553, 0.0047482275, 0.49985, 0.10059059, 0.18461712, 0.039834701, 0.41417012, 0.17109366, 0.17004336, 0.24400279, 0.16720845, 0.67910165, 0.38078198, 0.0074580321]
